Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::replicate/",1,0,0,3290,3290.0,3290,3290,0,0.0,0,0,3290,3290.0,3290,3290,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::replicate/replicate/",1,0,0,3290,3290.0,3290,3290,0,0.0,0,0,3290,3290.0,3290,3290,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::replicate/replicate/_broadcast_coalesced_reshape/",1,0,0,3290,3290.0,3290,3290,0,0.0,0,0,3290,3290.0,3290,3290,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::replicate/replicate/_broadcast_coalesced_reshape/forward/",1,0,0,3290,3290.0,3290,3290,0,0.0,0,0,3290,3290.0,3290,3290,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::scatter/",1,0,0,1840,1840.0,1840,1840,0,0.0,0,0,1840,1840.0,1840,1840,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::scatter/scatter_kwargs/",1,0,0,1840,1840.0,1840,1840,0,0.0,0,0,1840,1840.0,1840,1840,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::scatter/scatter_kwargs/scatter/",1,0,0,1840,1840.0,1840,1840,0,0.0,0,0,1840,1840.0,1840,1840,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::scatter/scatter_kwargs/scatter/scatter_map/",1,0,0,1840,1840.0,1840,1840,0,0.0,0,0,1840,1840.0,1840,1840,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::scatter/scatter_kwargs/scatter/scatter_map/forward/",1,0,0,1840,1840.0,1840,1840,0,0.0,0,0,1840,1840.0,1840,1840,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/record_function::__init__/",1,0,0,25259,25259.0,25259,25259,0,0.0,0,0,25259,25259.0,25259,25259,0,0.0,0,0
